Ciclo	Cobertura	Preparo	Bloco	Prod	Raiz	DS	GC	PT	P	MOS	pH	K	Ca	Mg	estC
2014	amendoim	CM	I	128.64	44	1.53	83.55	0.42	3.1	12.2	4.52	0.92	11.8	7	8.11
2014	amendoim	CM	II	85.66	29	1.59	87.12	0.44	3.4	15.4	4.94	0.66	13.3	7.9	10.86
2014	amendoim	CM	III	117.02	238	1.5	81.78	0.41	3.1	19.8	4.94	0.76	10.6	6.55	9.49
2014	amendoim	PD	I	88.3	237	1.52	82.76	0.43	2.3	14.2	4.46	0.49	11.3	6.25	7.88
2014	amendoim	PD	II	119	116	1.58	86.09	0.41	2.4	16.6	4.85	0.73	11.8	5.7	8.7
2014	amendoim	PD	III	110.19	66	1.53	83.16	0.43	2	14.2	5.08	0.5	12.2	7.4	8.29
2014	amendoim	PP	I	93.74	71	1.54	84.17	0.41	4.35	15.2	4.39	0.79	10	5.8	13.47
2014	amendoim	PP	II	103.54	58	1.55	84.36	0.45	3.2	14.6	4.98	0.99	11	6	10.88
2014	amendoim	PP	III	113.71	69	1.48	81.16	0.43	5.7	14.6	4.79	0.98	10.1	5.6	15.99
2014	crotalaria	CM	I	99.35	65	1.67	90.91	0.4	2.5	14.4	4.93	0.83	12.6	7.1	10.47
2014	crotalaria	CM	II	108.39	109	1.64	90.01	0.41	1.8	18.6	5.4	0.7	14.6	7.55	14.96
2014	crotalaria	CM	III	99.56	180	1.52	83.69	0.4	3.7	13.2	5.22	0.8	13	8.2	16.33
2014	crotalaria	PD	I	140.74	103	1.48	80.99	0.45	4.7	17.4	4.75	1.2	10.9	8.2	10.06
2014	crotalaria	PD	II	96.43	60	1.5	81.69	0.44	4	15.6	4.5	0.88	11.95	8	9.03
2014	crotalaria	PD	III	112.97	84	1.59	87.02	0.44	5.3	13.2	5.41	1.24	14.5	9.7	9.54
2014	crotalaria	PP	I	116.23	111	1.59	86.91	0.45	2.6	14.6	4.5	0.76	13.1	9.6	11.21
2014	crotalaria	PP	II	113.66	219	1.46	79.8	0.46	3	17.4	5.2	0.8	12.2	9.4	9.31
2014	crotalaria	PP	III	118.53	170	1.6	87.34	0.43	2	16	5.5	0.69	15.8	11	10.26
2014	milheto	CM	I	91.27	112	1.58	86.26	0.38	7.5	17.2	4.7	0.54	7.7	4.8	8.12
2014	milheto	CM	II	100.08	121	1.66	90.77	0.38	7.9	16.6	4.64	0.57	8.4	4.2	8.14
2014	milheto	CM	III	108.89	117	1.61	87.97	0.4	9	21	4.86	0.75	7.8	5.8	8.13
2014	milheto	PD	I	113.75	82	1.54	84.07	0.43	3.4	16.2	4.7	0.68	10.2	6.4	9.52
2014	milheto	PD	II	117.19	130	1.56	84.98	0.42	2.9	19.2	4.9	0.68	9.4	5.4	9.39
2014	milheto	PD	III	108.62	33	1.56	85.08	0.44	2.8	17.8	5.08	1	10.6	6.9	9.45
2014	milheto	PP	I	106.3	44	1.5	81.97	0.44	2.6	13.6	4.67	0.92	9.4	5.2	10.18
2014	milheto	PP	II	93.52	139	1.55	85.16	0.44	3	14.8	4.64	1.02	8.4	5.2	10.39
2014	milheto	PP	III	131.67	70	1.55	84.89	0.44	3	16	4.96	0.88	9.7	6.8	10.29
2014	sorgo	CM	I	104.38	104	1.55	84.7	0.44	6.8	14	4.4	0.91	7.98	4.2	10.48
2014	sorgo	CM	II	109.11	171	1.52	82.39	0.45	5.9	15.4	4.62	1.01	8.76	4.4	8.73
2014	sorgo	CM	III	113.84	157	1.59	86.74	0.41	6.35	11.2	4.82	0.75	7.6	3.4	9.24
2014	sorgo	PD	I	137.86	103	1.56	84.79	0.42	3.7	15.8	4.46	1.04	9	6.9	8.93
2014	sorgo	PD	II	119.33	15	1.63	88.96	0.39	3.6	18.4	4.5	0.76	7.7	6.4	9.27
2014	sorgo	PD	III	100.81	128	1.59	86.84	0.41	3.5	14.6	4.82	0.81	8.7	6.9	9.1
2014	sorgo	PP	I	137.86	170	1.63	88.8	0.42	3.9	14.8	4.58	1.21	13	7	9.84
2014	sorgo	PP	II	119.33	26	1.55	84.3	0.43	3.6	17.4	4.77	0.94	12.4	6.5	9.03
2014	sorgo	PP	III	100.81	215	1.59	86.61	0.41	3.45	12.8	4.82	0.88	11.55	5.6	9.43
2015	amendoim	CM	I	82.39	247.56	1.66	90.88	0.41	4.4	14	4.46	1.07	12	6.4	12.72
2015	amendoim	CM	II	101.27	242.01	1.7	92.72	0.41	4	13.6	4.84	1.04	12.3	7	11.47
2015	amendoim	CM	III	112.73	183.49	1.69	92.18	0.4	3	11.6	4.32	0.78	9.4	5.5	9.38
2015	amendoim	PD	I	96.91	180.81	1.67	91.34	0.4	2.2	14.4	4.22	1.06	8.6	5.4	11.81
2015	amendoim	PD	II	93.9	309.22	1.66	90.6	0.39	2.3	12.7	4.7	0.95	9.9	5.6	11.31
2015	amendoim	PD	III	114.7	202.85	1.68	91.85	0.38	1.8	13	4.48	1.12	13	6.2	15.39
2015	amendoim	PP	I	86.82	329.22	1.64	89.95	0.41	2.4	13	4.62	1.49	12	7.6	11.94
2015	amendoim	PP	II	104.97	191.88	1.61	88	0.39	1.8	13	4.72	1.31	12.8	7.6	11.54
2015	amendoim	PP	III	112.76	248.75	1.56	85.9	0.39	2	11.6	4.24	1.83	9.7	6.6	12.11
2015	crotalaria	CM	I	97.82	317.72	1.68	91.79	0.37	3.2	13.4	4.46	1.02	12	5.4	12.58
2015	crotalaria	CM	II	95.64	144.9	1.72	93.77	0.36	3.6	11.8	4.98	0.96	14.5	5.6	10.32
2015	crotalaria	CM	III	104.63	163.91	1.64	89.74	0.38	3.8	11.8	4.5	2.22	11.8	6.8	11.58
2015	crotalaria	PD	I	102.49	143.97	1.52	83.63	0.44	5.5	15	4.71	1.54	13.8	8.1	12.92
2015	crotalaria	PD	II	105.64	245.24	1.62	88.4	0.44	5.55	13.5	4.59	1.39	11.1	7.1	11.79
2015	crotalaria	PD	III	102.98	169.7	1.58	86.55	0.41	2.6	13.2	4.72	1.5	11.5	7.45	12.38
2015	crotalaria	PP	I	127.57	99.93	1.55	85.3	0.44	3.7	12.8	4.38	1.9	9.4	5.8	11.19
2015	crotalaria	PP	II	106.13	169.31	1.5	82.89	0.44	4.8	17.2	4.4	2.6	8.8	6.8	13.49
2015	crotalaria	PP	III	107.07	300.26	1.49	82.74	0.42	4.7	14.7	5.14	2.66	12.2	7.2	15.19
2015	milheto	CM	I	99.3	219.05	1.66	91.62	0.39	4.4	16.1	4.22	1.12	9.7	6	15.49
2015	milheto	CM	II	103.82	398.88	1.76	96.72	0.35	4.3	12	4.68	1.06	12.05	7.5	13.54
2015	milheto	CM	III	93.26	217.83	1.59	88.22	0.41	5.9	18.8	4.66	1.31	12.2	7.8	17.33
2015	milheto	PD	I	108.21	234.29	1.56	85.49	0.4	4.1	13.8	4.43	1.71	13	7.1	11.23
2015	milheto	PD	II	103.27	117.04	1.55	84.9	0.43	4.4	12.8	4.56	1.35	12.4	7	13.13
2015	milheto	PD	III	105.74	127.95	1.61	88.34	0.45	4.8	17.6	4.66	2.41	13.6	7.6	14.74
2015	milheto	PP	I	114.92	360.21	1.66	90.4	0.37	4.4	16.1	4.22	1.12	9.7	6	10.83
2015	milheto	PP	II	102.26	284.06	1.73	95.14	0.37	3.6	12	4.68	0.95	12.05	6.6	11.8
2015	milheto	PP	III	91.8	192.85	1.74	95.32	0.37	5.9	18.8	4.66	1.18	12.2	7.8	11.19
2015	sorgo	CM	I	95.79	195.31	1.63	89.42	0.41	3.1	12.9	4.5	1.47	8.1	4.6	13.51
2015	sorgo	CM	II	119.56	229.21	1.61	88.61	0.38	2.5	14	4.48	1.72	8.6	5.8	14.14
2015	sorgo	CM	III	107.87	241.4	1.73	94.89	0.34	3.8	12.9	4.79	1.22	9.2	5.7	11.56
2015	sorgo	PD	I	112.39	277.17	1.63	89.57	0.36	2.6	14.4	4.34	1.62	10	6	13.01
2015	sorgo	PD	II	96.63	98.23	1.8	98.21	0.34	2.5	13.3	4.64	1.49	9.5	6	10.05
2015	sorgo	PD	III	80.88	353.02	1.65	90.39	0.35	3.3	12.8	4.72	1.95	10	6.6	10.16
2015	sorgo	PP	I	115.87	164.39	1.64	89.95	0.44	4.4	15.6	4.62	1.56	13.6	7.4	13.44
2015	sorgo	PP	II	106.39	322.07	1.6	87.65	0.44	4.4	14.2	4.8	1.32	12	9.6	13.82
